央视频-央视频道,#genre#
香港福斯電影,p5p://45.92.126.18:9906/60693d0e000cf43215b666ef7701d76e.ts
星空衛視,p5p://45.92.126.18:9906/60463ee9000522e20878a1f4688ea89f.ts
澳門蓮花台,p5p://45.92.126.18:9906/613192f10005f0f11859aeaf78bfd050
民視台湾台,p5p://45.92.126.18:9906/6044825e000bd32801b024b2f4ff7f01.ts
民視新聞,p5p://45.92.126.18:9906/604350c30004f22006e648675a9482b5.ts
民視新聞,p5p://45.92.126.18:9906/604350c30004f22006e648675a9482b5
民視新聞台,p5p://45.92.126.18:9906/604350c30004f22006e648675a9482b5.ts
台視新聞,p5p://45.92.126.18:9906/60448580000cd93c01bc61c5ce37b60a.ts
中視新聞,p5p://45.92.126.18:9906/604487e700053cde01c5c22abcaf0467.ts
中視精彩,p5p://45.92.126.18:9906/6044887d000496a501c80bf0a54afd29
公視台语台,p5p://45.92.126.18:9906/60448ebb000b822801e06fe5cbe82807.ts
大愛電視2,p5p://45.92.126.18:9906/60c5a836000cdeac10d361e80c6f7078
好消息,p5p://45.92.126.18:9906/60b575c30003189a05772bc6fbb8fc4f
BOOMERANG,p5p://45.92.126.18:9906/60447a4a00022e630190941a11afdf8e.ts
愛放動漫,p5p://45.92.126.18:9906/60447b1e000e9a430193d36877b2a95b.ts
Dreamworks,p5p://45.92.126.18:9906/60447d38000deb8b019c08cb6ec7c4d9.ts
Dreamworks,p5p://45.92.126.18:9906/604477b3000746210186779063f54d2a.ts
Animax HD,p5p://45.92.126.18:9906/60447df7000cbc13019ef29677465e40.ts
Animax HD,p5p://45.92.126.18:9906/611a8d5a000710970c22409682924b74
ANIMAX,p5p://45.92.126.18:9906/606b4e4f0004a33a03ddafe180ec2c65.ts
MoMo親子台,p5p://45.92.126.18:9906/604480210005726601a764c84f1d9e1c.ts
CN卡通,p5p://45.92.126.18:9906/604480aa000baba001a97d8882607e75.ts
迪士尼卡通,p5p://45.92.126.18:9906/604481b9000baf3801ada02160f76b5d.ts
衛視中文台,p5p://45.92.126.18:9906/6045bbb2000922ef0678142229e89274.ts
衛視電影台,p5p://45.92.126.18:9906/607318ce000ef9a107a827d158704e10.ts
ETtoday综合 HD,p5p://45.92.126.18:9906/6043494d000e362406c925d66b8448c9.ts
壹電視新聞台,p5p://45.92.126.18:9906/6069902f0003db1b16fb1d83c7d47b04.ts
壹電視電影台,p5p://45.92.126.18:9906/60434a87000b209606cdef9cee9a8dfe.ts
寰宇新聞台,p5p://45.92.126.18:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞二台,p5p://45.92.126.18:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇財經新聞新聞,p5p://45.92.126.18:9906/60434e97000581d106ddccac446ea89d
寰宇財經新聞新聞,p5p://45.92.126.18:9906/60434e97000581d106ddccac446ea89d.ts
寰宇综合,p5p://45.92.126.18:9906/60434cfa0008763606d78025a8321e46.ts
東森幼幼,p5p://45.92.126.18:9906/6044812c00070c6401ab7829e94ee52d.ts
東森新聞,p5p://45.92.126.18:9906/60e382fe000d9e21042519ca9bf23e95
東森財經,p5p://45.92.126.18:9906/60435ba7000123740710d20d0fa4a082.ts
東森財經,p5p://45.92.126.18:9906/60435ba7000123740710d20d0fa4a082
東森綜合,p5p://45.92.126.18:9906/60f6d48100093dde01e5183e2fe6721c
東森综合,p5p://45.92.126.18:9906/60449d64000d9a930219b4972f368e8b.ts
東森電影台,p5p://45.92.126.18:9906/60449ece0009c6ea021f39ac30bce072.ts
東森洋片台,p5p://45.92.126.18:9906/60449f6d000c10680221a75af38e252f.ts
中天新聞,p5p://45.92.126.18:9906/60e5b23b00079f880cad9e8953b1922a
中天新聞,p5p://0198.02686.cc:16871/5f2f9178000c4ec022496d33f280ef95.ts
